FACID,FACID,LAT,LON,totpop,buff,stabbr,statename,region,RAW_E_PM25,S_E_PM25_PER,R_E_PM25_PER,N_E_PM25_PER,S_E_PM25,R_E_PM25,N_E_PM25,RAW_E_O3,S_E_O3_PER,R_E_O3_PER,N_E_O3_PER,S_E_O3,R_E_O3,N_E_O3,RAW_E_DIESEL,S_E_DIESEL_PER,R_E_DIESEL_PER,N_E_DIESEL_PER,S_E_DIESEL,R_E_DIESEL,N_E_DIESEL,RAW_E_CANCER,S_E_CANCER_PER,R_E_CANCER_PER,N_E_CANCER_PER,S_E_CANCER,R_E_CANCER,N_E_CANCER,RAW_E_NEURO,S_E_NEURO_PER,R_E_NEURO_PER,N_E_NEURO_PER,S_E_NEURO,R_E_NEURO,N_E_NEURO,RAW_E_RESP,S_E_RESP_PER,R_E_RESP_PER,N_E_RESP_PER,S_E_RESP,R_E_RESP,N_E_RESP,RAW_E_TRAFFIC,S_E_TRAFFIC_PER,R_E_TRAFFIC_PER,N_E_TRAFFIC_PER,S_E_TRAFFIC,R_E_TRAFFIC,N_E_TRAFFIC,RAW_E_LEAD,S_E_LEAD_PER,R_E_LEAD_PER,N_E_LEAD_PER,S_E_LEAD,R_E_LEAD,N_E_LEAD,RAW_E_NPL,S_E_NPL_PER,R_E_NPL_PER,N_E_NPL_PER,S_E_NPL,R_E_NPL,N_E_NPL,RAW_E_RMP,S_E_RMP_PER,R_E_RMP_PER,N_E_RMP_PER,S_E_RMP,R_E_RMP,N_E_RMP,RAW_E_TSDF,S_E_TSDF_PER,R_E_TSDF_PER,N_E_TSDF_PER,S_E_TSDF,R_E_TSDF,N_E_TSDF,RAW_E_NPDES,S_E_NPDES_PER,R_E_NPDES_PER,N_E_NPDES_PER,S_E_NPDES,R_E_NPDES,N_E_NPDES,RAW_D_INDEX,S_D_INDEX_PER,R_D_INDEX_PER,N_D_INDEX_PER,S_D_INDEX,R_D_INDEX,N_D_INDEX,RAW_D_MINOR,S_D_MINOR_PER,R_D_MINOR_PER,N_D_MINOR_PER,S_D_MINOR,R_D_MINOR,N_D_MINOR,RAW_D_INCOME,S_D_INCOME_PER,R_D_INCOME_PER,N_D_INCOME_PER,S_D_INCOME,R_D_INCOME,N_D_INCOME,RAW_D_LING,S_D_LING_PER,R_D_LING_PER,N_D_LING_PER,S_D_LING,R_D_LING,N_D_LING,RAW_D_LESSHS,S_D_LESSHS_PER,R_D_LESSHS_PER,N_D_LESSHS_PER,S_D_LESSHS,R_D_LESSHS,N_D_LESSHS,RAW_D_UNDER5,S_D_UNDER5_PER,R_D_UNDER5_PER,N_D_UNDER5_PER,S_D_UNDER5,R_D_UNDER5,N_D_UNDER5,RAW_D_OVER64,S_D_OVER64_PER,R_D_OVER64_PER,N_D_OVER64_PER,S_D_OVER64,R_D_OVER64,N_D_OVER64
1,1,36.263333,-98.480833,1961.404241,NA,Oklahoma,OK,6,8.03,5,13,21,9.37,9.45,9.32,56.1,42,92,91,55.8,47,47.4,0.203,14,8,7,0.526,0.72,0.937,34,4,12,28,45,42,40, NA,NA,NA,NA,0,0,0,1.3,11,22,29,1.9,1.8,1.8,31,50,33,33,83,320,590,0.43,78,85,71,0.25,0.18,0.3,0,27,26,16,0.044,0.072,0.13,1.1,91,85,89,0.38,0.55,0.43,0.029,40,39,39,0.066,0.075,0.072,0,0,1,1,0.22,0.41,0.31,25,29,25,41,35,45,36,11,6,9,26,32,50,37,39,51,51,61,39,39,35,1,61,39,48,2,6,5,14,61,50,62,13,17,14,8,69,65,74,7,7,6,16,67,76,69,14,12,14
2,2,41.017778,-80.361944,4506.048133,NA,Pennsylvania,PA,3,11.2,74,89,88,10.5,9.84,9.32,50.8,76,58,67,49.1,49.8,47.4,0.617,39,37,41,0.927,0.918,0.937,36,36,34,38,41,42,40, NA,NA,NA,NA,0,0,0,1.5,41,40,43,1.8,1.8,1.8,230,72,67,65,250,350,590,0.63,66,77,83,0.49,0.37,0.3,0.042,18,23,36,0.18,0.15,0.13,0.96,86,90,87,0.45,0.35,0.43,0.052,35,44,60,0.12,0.11,0.072,0.18,37,52,58,0.51,0.37,0.31,26,67,54,42,26,30,36,15,61,42,32,21,31,37,36,67,68,57,31,29,35,1,59,57,46,2,2,5,12,65,62,56,11,12,14,6,64,59,54,6,6,6,23,85,87,89,16,15,14
3,3,43.437717,-91.90365,22.87148594,NA,Iowa,IA,7,9.17,6,19,43,9.67,9.75,9.32,48,0,3,47,49.5,53,47.4,0.225,3,6,9,0.585,0.779,0.937,21,7,3,3,30,38,40, NA,NA,NA,NA,0,0,0,0.52,4,2,2,1.1,1.5,1.8,84,37,56,48,1400,490,590,0.41,45,61,69,0.44,0.36,0.3,0,21,21,16,0.1,0.097,0.13,0.31,39,54,67,0.79,0.59,0.43,0,92,51,26,0.0034,0.045,0.072,0.063,28,22,14,0.2,0.22,0.31,13,27,21,13,21,26,36,3,23,15,7,12,18,37,23,36,33,34,30,33,35,3,82,81,61,2,2,5,7,49,42,34,9,11,14,1,6,6,8,6,7,6,14,46,51,58,15,14,14
4,4,29.690833,-91.343333,530.2757673,NA,Louisiana,LA,6,8,1,13,21,9.26,9.45,9.32,41.8,38,25,19,42.1,47,47.4,0.348,26,24,19,0.887,0.72,0.937,34,2,13,30,49,42,40, NA,NA,NA,NA,0,0,0,1.6,24,41,46,1.9,1.8,1.8,93,58,51,50,250,320,590,0.068,30,47,30,0.22,0.18,0.3,0,21,26,16,0.08,0.072,0.13,1.2,83,87,90,0.58,0.55,0.43,0,36,29,26,0.051,0.075,0.072,0.17,41,53,56,0.45,0.41,0.31,22,25,19,35,40,45,36,18,31,17,37,40,50,37,26,27,32,41,40,39,35,0,62,35,44,2,6,5,21,65,65,76,17,17,14,7,54,49,58,7,7,6,7,19,31,23,13,12,14
5,5,40.113889,-75.348056,27370.16603,NA,Pennsylvania,PA,3,10.6,55,80,80,10.5,9.84,9.32,48.4,32,30,50,49.1,49.8,47.4,1.42,83,84,83,0.927,0.918,0.937,52,83,82,87,41,42,40, NA,NA,NA,NA,0,0,0,2.5,87,84,83,1.8,1.8,1.8,250,73,68,66,250,350,590,0.75,75,84,89,0.49,0.37,0.3,1.4,98,99,99,0.18,0.15,0.13,1.4,93,94,92,0.45,0.35,0.43,0.25,88,91,95,0.12,0.11,0.072,1.8,95,97,97,0.51,0.37,0.31,57,88,87,79,26,30,36,64,88,82,76,21,31,37,49,82,83,74,31,29,35,11,93,93,85,2,2,5,20,85,83,75,11,12,14,7,72,68,63,6,6,6,9,17,26,31,16,15,14
6,6,41.377222,-75.638611,1068.515491,NA,Pennsylvania,PA,3,8.53,4,13,30,10.5,9.84,9.32,45.3,6,3,33,49.1,49.8,47.4,0.347,17,16,19,0.927,0.918,0.937,28,15,10,14,41,42,40, NA,NA,NA,NA,0,0,0,1.1,16,16,17,1.8,1.8,1.8,590,90,84,80,250,350,590,0.46,51,66,73,0.49,0.37,0.3,0.073,39,46,56,0.18,0.15,0.13,0.93,86,89,87,0.45,0.35,0.43,0.033,23,29,44,0.12,0.11,0.072,0.26,51,65,71,0.51,0.37,0.31,16,40,29,21,26,30,36,10,49,33,23,21,31,37,22,39,43,34,31,29,35,3,78,76,63,2,2,5,14,71,67,61,11,12,14,2,9,9,9,6,6,6,32,96,96,96,16,15,14
7,7,40.858333,-80.254444,3024.605917,NA,Pennsylvania,PA,3,11.4,78,90,90,10.5,9.84,9.32,51,80,61,68,49.1,49.8,47.4,0.533,32,31,35,0.927,0.918,0.937,35,32,29,34,41,42,40, NA,NA,NA,NA,0,0,0,1.5,41,40,43,1.8,1.8,1.8,8.9,17,15,16,250,350,590,0.61,64,76,82,0.49,0.37,0.3,0.027,7,11,24,0.18,0.15,0.13,1,88,91,89,0.45,0.35,0.43,1.3,99,99,99,0.12,0.11,0.072,0.24,49,63,69,0.51,0.37,0.31,15,34,25,18,26,30,36,3,23,15,8,21,31,37,26,48,51,40,31,29,35,0,56,55,44,2,2,5,10,53,51,47,11,12,14,4,40,37,33,6,6,6,21,77,81,83,16,15,14
8,8,40.308333,-76.675,1153.96745,NA,Pennsylvania,PA,3,11.9,93,97,95,10.5,9.84,9.32,48.7,38,33,52,49.1,49.8,47.4,0.626,39,37,42,0.927,0.918,0.937,37,39,36,41,41,42,40, NA,NA,NA,NA,0,0,0,1.6,43,41,45,1.8,1.8,1.8,7.9,15,14,14,250,350,590,0.17,16,35,46,0.49,0.37,0.3,0.049,23,29,42,0.18,0.15,0.13,0.99,87,90,88,0.45,0.35,0.43,0.051,35,43,59,0.12,0.11,0.072,0.43,64,76,81,0.51,0.37,0.31,21,56,42,31,26,30,36,27,75,58,49,21,31,37,14,21,26,18,31,29,35,4,84,82,70,2,2,5,6,31,32,30,11,12,14,5,53,49,45,6,6,6,9,17,26,31,16,15,14
9,9,30.219119,-91.033065,NA,NA,NA,NA,NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA, NA, NA
10,10,44.400312,-95.26023,638.5652174,NA,Minnesota,MN,5,9.07,20,7,40,9.95,10.6,9.32,47,88,13,42,44.2,50.3,47.4,0.214,14,4,8,0.753,0.931,0.937,18,6,1,1,36,34,40, NA,NA,NA,NA,0,0,0,0.5,3,1,1,2.2,1.7,1.8,24,32,32,29,350,370,590,0.52,75,68,77,0.33,0.39,0.3,0,18,9,16,0.18,0.12,0.13,3,99,98,98,0.5,0.51,0.43,0,32,24,26,0.11,0.069,0.072,0.057,17,8,11,0.21,0.31,0.31,10,20,14,8,22,29,36,1,5,7,3,18,24,37,20,40,30,28,27,33,35,0,56,58,44,2,2,5,9,68,52,44,8,11,14,5,34,40,39,6,6,6,19,79,79,80,14,14,14
11,11,45.377124,-95.673867,153.9882056,NA,Minnesota,MN,5,8.93,18,6,37,9.95,10.6,9.32,45.2,74,10,33,44.2,50.3,47.4,0.2,12,3,7,0.753,0.931,0.937,18,4,1,1,36,34,40, NA,NA,NA,NA,0,0,0,0.62,9,3,3,2.2,1.7,1.8,8.4,17,17,15,350,370,590,0.52,76,68,77,0.33,0.39,0.3,0,18,9,16,0.18,0.12,0.13,0.47,65,68,74,0.5,0.51,0.43,0,32,24,26,0.11,0.069,0.072,0.026,4,1,2,0.21,0.31,0.31,14,35,25,15,22,29,36,1,5,7,3,18,24,37,26,55,43,40,27,33,35,0,56,58,44,2,2,5,11,76,60,51,8,11,14,4,22,29,28,6,6,6,18,76,75,76,14,14,14
12,12,41.25,-76.033333,125.843736,NA,Pennsylvania,PA,3,8.73,6,19,34,10.5,9.84,9.32,44.1,1,0,26,49.1,49.8,47.4,0.21,4,4,7,0.927,0.918,0.937,27,13,8,12,41,42,40, NA,NA,NA,NA,0,0,0,0.91,11,9,11,1.8,1.8,1.8,170,66,62,59,250,350,590,0.62,64,76,82,0.49,0.37,0.3,0.062,34,40,51,0.18,0.15,0.13,0.7,79,85,82,0.45,0.35,0.43,0.12,66,73,84,0.12,0.11,0.072,0.15,29,44,50,0.51,0.37,0.31,23,61,48,36,26,30,36,8,44,29,20,21,31,37,37,68,69,58,31,29,35,0,56,55,44,2,2,5,23,89,87,80,11,12,14,3,19,18,17,6,6,6,21,78,81,84,16,15,14
13,13,40.31943,-98.904137,136.4536517,NA,Nebraska,NE,7,7.98,14,3,20,9.27,9.75,9.32,51.2,85,34,70,49.2,53,47.4,0.184,6,2,5,0.759,0.779,0.937,21,13,3,3,31,38,40, NA,NA,NA,NA,0,0,0,0.51,8,1,1,1.2,1.5,1.8,2.2,6,7,7,140,490,590,0.77,89,90,90,0.38,0.36,0.3,0.02,28,25,18,0.13,0.097,0.13,1.7,82,91,94,0.88,0.59,0.43,0,99,51,26,0.00011,0.045,0.072,0.019,6,2,1,0.21,0.22,0.31,24,60,57,38,25,26,36,3,13,15,7,19,18,37,45,76,73,69,32,33,35,0,57,65,44,3,2,5,10,68,59,48,9,11,14,3,15,17,20,7,7,6,20,77,78,82,14,14,14
